,Seed,east,midwest,south,west,seedings
0,1,Michigan,Florida,Arizona,Duke,0
15,16,Prairie View A&M,Queens,Furman,Lehigh,1
7,8,Clemson,Georgia,Villanova,Ohio St.,2
8,9,N.C. State,TCU,Utah St.,Iowa,3
4,5,Wisconsin,St. John's,Kansas,Texas Tech,4
11,12,Akron,McNeese St.,Northern Iowa,High Point,5
3,4,Virginia,Nebraska,Arkansas,Alabama,6
12,13,Hofstra,North Dakota St.,Cal Baptist,Hawaii,7
5,6,BYU,North Carolina,Louisville,Tennessee,8
10,11,Texas,UCF,SMU,Missouri,9
2,3,Michigan St.,Illinois,Vanderbilt,Gonzaga,10
13,14,Penn,Wright St.,Kennesaw St.,Troy,11
6,7,Kentucky,Saint Mary's,Miami FL,UCLA,12
9,10,Saint Louis,VCU,Miami OH,Texas A&M,13
1,2,Houston,Iowa St.,Connecticut,Purdue,14
14,15,Tennessee St.,UMBC,Siena,Idaho,15
