,Seed,east,midwest,south,west,seedings
0,1,Michigan,Nebraska,Arizona,Duke,0
15,16,Vermont,Navy,Merrimack,Bethune Cookman,1
7,8,SMU,Saint Louis,Villanova,Texas A&M,2
8,9,N.C. State,UCF,Utah St.,Wisconsin,3
4,5,Kansas,Alabama,Arkansas,St. John's,4
11,12,Liberty,Yale,Tulsa,Belmont,5
3,4,BYU,Florida,Vanderbilt,Texas Tech,6
12,13,Hawaii,High Point,Stephen F. Austin,Troy,7
5,6,Kentucky,North Carolina,Louisville,Tennessee,8
10,11,Ohio St.,Seton Hall,TCU,New Mexico,9
2,3,Virginia,Houston,Illinois,Michigan St.,10
13,14,Portland St.,UNC Wilmington,North Dakota St.,Utah Valley,11
6,7,Iowa,Georgia,Clemson,Auburn,12
9,10,Saint Mary's,UCLA,Miami FL,Virginia Tech,13
1,2,Iowa St.,Purdue,Connecticut,Gonzaga,14
14,15,East Tennessee St.,Oakland,Austin Peay,Tennessee Martin,15
