,Seed,east,midwest,south,west,seedings
0,1,Arizona,Michigan,Vanderbilt,Iowa St.,0
15,16,LIU,Grambling St.,Howard,Furman,1
7,8,Georgia,Saint Louis,Miami FL,Saint Mary's,2
8,9,Iowa,Texas A&M,USC,St. John's,3
4,5,Louisville,Arkansas,Villanova,Virginia,4
11,12,McNeese St.,Yale,Tulsa,Belmont,5
3,4,Alabama,Illinois,Kansas,North Carolina,6
12,13,Utah Valley,Hofstra,Liberty,UC San Diego,7
5,6,Clemson,Tennessee,SMU,Texas Tech,8
10,11,Kentucky,Ohio St.,LSU,Oklahoma St.,9
2,3,BYU,Gonzaga,Houston,Michigan St.,10
13,14,Northern Colorado,Quinnipiac,St. Thomas,High Point,11
6,7,UCF,Florida,Utah St.,Seton Hall,12
9,10,Indiana,TCU,New Mexico,Virginia Tech,13
1,2,Purdue,Nebraska,Connecticut,Duke,14
14,15,Arkansas St.,Oakland,Lipscomb,Tennessee Martin,15
