,Seed,east,midwest,south,west,seedings
0,1,Michigan,Purdue,Arizona,Duke,0
15,16,SIU Edwardsville,LIU,Vermont,Southern,1
7,8,Saint Mary's,Illinois,LSU,Oklahoma St.,2
8,9,Florida,Saint Louis,Santa Clara,Texas Tech,3
4,5,Butler,Virginia,Arkansas,Tennessee,4
11,12,Oklahoma,UC San Diego,Akron,William & Mary,5
3,4,Louisville,Houston,USC,Auburn,6
12,13,Northern Iowa,McNeese St.,South Alabama,Cal Baptist,7
5,6,Utah St.,Clemson,Kansas,Nebraska,8
10,11,TCU,George Mason,Tulsa,St. John's,9
2,3,Alabama,North Carolina,BYU,Gonzaga,10
13,14,High Point,East Tennessee St.,Northern Colorado,New Mexico St.,11
6,7,UCF,Georgia,SMU,Seton Hall,12
9,10,Miami FL,Yale,California,Colorado,13
1,2,Michigan St.,Connecticut,Vanderbilt,Iowa St.,14
14,15,Siena,Lipscomb,North Dakota St.,Robert Morris,15
