,Seed,east,midwest,south,west,seedings
0,1,Michigan,Iowa St.,Arizona,Duke,0
15,16,LIU,Grambling St.,Howard,Oakland,1
7,8,Kentucky,Saint Mary's,UCF,Seton Hall,2
8,9,LSU,Georgia,Butler,Auburn,3
4,5,Virginia,Tennessee,Louisville,Texas Tech,4
11,12,McNeese St.,Yale,Miami OH,Illinois St.,5
3,4,Alabama,Illinois,Kansas,North Carolina,6
12,13,UC San Diego,William & Mary,Utah Valley,Liberty,7
5,6,USC,Utah St.,Villanova,Arkansas,8
10,11,Saint Louis,Ohio St.,Miami FL,Oklahoma St.,9
2,3,BYU,Nebraska,Houston,Michigan St.,10
13,14,Arkansas St.,Quinnipiac,Northern Colorado,High Point,11
6,7,Clemson,Iowa,SMU,Florida,12
9,10,Baylor,UCLA,California,St. John's,13
1,2,Connecticut,Purdue,Vanderbilt,Gonzaga,14
14,15,Lipscomb,Furman,St. Thomas,Tennessee Martin,15
