,Seed,east,midwest,south,west,seedings
0,1,Michigan,Nebraska,Arizona,Duke,0
15,16,Vermont,Tennessee Martin,Merrimack,Bethune Cookman,1
7,8,SMU,N.C. State,Utah St.,Texas A&M,2
8,9,UCF,Georgia,Villanova,UCLA,3
4,5,Arkansas,Alabama,Kansas,Tennessee,4
11,12,Liberty,Yale,Tulsa,Belmont,5
3,4,BYU,Florida,Virginia,Texas Tech,6
12,13,Stephen F. Austin,High Point,UNC Wilmington,Troy,7
5,6,North Carolina,Auburn,Louisville,St. John's,8
10,11,TCU,Ohio St.,New Mexico,Virginia Tech,9
2,3,Michigan St.,Houston,Vanderbilt,Purdue,10
13,14,North Dakota St.,UC Irvine,Austin Peay,Utah Valley,11
6,7,Iowa,Kentucky,Clemson,Saint Louis,12
9,10,Miami FL,Saint Mary's,Indiana,Wisconsin,13
1,2,Iowa St.,Illinois,Connecticut,Gonzaga,14
14,15,Navy,Oakland,Montana,Mercer,15
