,Seed,east,midwest,south,west,seedings
0,1,Michigan,Houston,Arizona,Duke,0
15,16,UMBC,Tennessee Martin,Merrimack,Bethune Cookman,1
7,8,N.C. State,Texas,Villanova,Iowa,2
8,9,Indiana,Miami FL,SMU,Texas A&M,3
4,5,Arkansas,Alabama,Louisville,Tennessee,4
11,12,Stephen F. Austin,Liberty,South Florida,Belmont,5
3,4,Virginia,Michigan St.,Vanderbilt,Texas Tech,6
12,13,UNC Wilmington,Hawaii,Yale,High Point,7
5,6,Kentucky,North Carolina,BYU,St. John's,8
10,11,Saint Mary's,Missouri,USC,Virginia Tech,9
2,3,Kansas,Florida,Illinois,Gonzaga,10
13,14,North Dakota St.,Portland St.,Cal Baptist,Austin Peay,11
6,7,Clemson,Wisconsin,Utah St.,Saint Louis,12
9,10,Georgia,UCLA,UCF,Auburn,13
1,2,Iowa St.,Purdue,Connecticut,Nebraska,14
14,15,Wright St.,Navy,South Alabama,East Tennessee St.,15
