,Seed,east,midwest,south,west,seedings
0,1,Michigan,Connecticut,Arizona,Duke,0
15,16,Vermont,Navy,Merrimack,Bethune Cookman,1
7,8,N.C. State,UCF,Utah St.,Texas A&M,2
8,9,SMU,Indiana,Villanova,Wisconsin,3
4,5,Alabama,North Carolina,BYU,Texas Tech,4
11,12,Stephen F. Austin,Liberty,Tulsa,Belmont,5
3,4,Florida,Tennessee,Virginia,Michigan St.,6
12,13,UNC Wilmington,High Point,Cal Baptist,Yale,7
5,6,Arkansas,Kentucky,Louisville,Saint Louis,8
10,11,Miami FL,Saint Mary's,New Mexico,Oklahoma St.,9
2,3,Kansas,Purdue,Vanderbilt,Gonzaga,10
13,14,Portland St.,Hawaii,North Dakota St.,Troy,11
6,7,Iowa,Auburn,Clemson,St. John's,12
9,10,Texas,Georgia,California,UCLA,13
1,2,Iowa St.,Nebraska,Houston,Illinois,14
14,15,East Tennessee St.,Austin Peay,Wright St.,Tennessee Martin,15
