,Seed,east,midwest,south,west,seedings
0,1,Michigan,Nebraska,Arizona,Duke,0
15,16,Southern,Vermont,Howard,Austin Peay,1
7,8,UCF,Miami FL,Utah St.,Saint Louis,2
8,9,Wisconsin,Auburn,SMU,Texas A&M,3
4,5,St. John's,Clemson,Kansas,Texas Tech,4
11,12,Liberty,Yale,Tulsa,Belmont,5
3,4,BYU,Florida,Michigan St.,Alabama,6
12,13,High Point,Utah Valley,Stephen F. Austin,Troy,7
5,6,Kentucky,North Carolina,Louisville,Arkansas,8
10,11,Baylor,Ohio St.,Texas,New Mexico,9
2,3,Vanderbilt,Virginia,Illinois,Iowa St.,10
13,14,UNC Wilmington,Hawaii,St. Thomas,Oakland,11
6,7,Iowa,Georgia,Villanova,Tennessee,12
9,10,Saint Mary's,Seton Hall,USC,Virginia Tech,13
1,2,Houston,Purdue,Connecticut,Gonzaga,14
14,15,Tennessee Martin,Marist,Portland St.,Mercer,15
