,Seed,east,midwest,south,west,seedings
0,1,Michigan,Connecticut,Arizona,Duke,0
15,16,Navy,Grambling St.,Howard,Tennessee Martin,1
7,8,Wisconsin,Saint Mary's,SMU,St. John's,2
8,9,Kentucky,Seton Hall,Georgia,Texas A&M,3
4,5,Florida,Clemson,Arkansas,Texas Tech,4
11,12,McNeese St.,Liberty,Tulsa,Belmont,5
3,4,Kansas,Virginia,Alabama,Michigan St.,6
12,13,Hawaii,Utah Valley,Yale,Hofstra,7
5,6,Utah St.,North Carolina,Villanova,Tennessee,8
10,11,TCU,Missouri,Stanford,Auburn,9
2,3,Houston,BYU,Vanderbilt,Illinois,10
13,14,Wright St.,High Point,St. Thomas,Troy,11
6,7,UCF,Miami FL,Louisville,Saint Louis,12
9,10,Texas,N.C. State,USC,Iowa,13
1,2,Purdue,Nebraska,Iowa St.,Gonzaga,14
14,15,Portland St.,Furman,Austin Peay,Marist,15
