,Seed,east,midwest,south,west,seedings
0,1,Michigan,Iowa St.,Arizona,Duke,0
15,16,Lindenwood,LIU,Vermont,Southern,1
7,8,Saint Mary's,St. John's,Utah St.,Boise St.,2
8,9,Florida,Arizona St.,SMU,Ohio St.,3
4,5,Virginia,Illinois,Kansas,Texas Tech,4
11,12,McNeese St.,Yale,Miami OH,Belmont,5
3,4,Houston,Alabama,Arkansas,North Carolina,6
12,13,Northern Colorado,Utah Valley,UNC Wilmington,UC San Diego,7
5,6,Clemson,Auburn,USC,Tennessee,8
10,11,Oklahoma,Saint Louis,California,UCLA,9
2,3,Purdue,BYU,Louisville,Nebraska,10
13,14,Siena,High Point,North Dakota St.,Lipscomb,11
6,7,LSU,Georgia,Iowa,Seton Hall,12
9,10,UCF,Miami FL,Butler,Virginia Tech,13
1,2,Michigan St.,Connecticut,Vanderbilt,Gonzaga,14
14,15,Arkansas St.,Youngstown St.,East Tennessee St.,Liberty,15
