,Seed,east,midwest,south,west,seedings
0,1,Michigan,Iowa St.,Arizona,Duke,0
15,16,Lindenwood,LIU,Vermont,Southern,1
7,8,Saint Mary's,UCLA,Florida,Boise St.,2
8,9,Miami FL,Ohio St.,SMU,St. John's,3
4,5,Arkansas,Virginia,Louisville,Tennessee,4
11,12,McNeese St.,Utah Valley,Miami OH,Yale,5
3,4,Houston,Alabama,Kansas,Illinois,6
12,13,Belmont,Sam Houston St.,UNC Wilmington,UC San Diego,7
5,6,Seton Hall,Auburn,USC,Texas Tech,8
10,11,Saint Louis,Arizona St.,Oklahoma,Colorado,9
2,3,BYU,Nebraska,Purdue,North Carolina,10
13,14,Quinnipiac,High Point,Northern Colorado,Lipscomb,11
6,7,Clemson,Iowa,Utah St.,LSU,12
9,10,UCF,Georgia,Butler,Virginia Tech,13
1,2,Michigan St.,Connecticut,Vanderbilt,Gonzaga,14
14,15,North Dakota St.,Arkansas St.,East Tennessee St.,Oakland,15
