,Seed,east,midwest,south,west,seedings
0,1,Michigan,Connecticut,Arizona,Duke,0
15,16,UMBC,Southeast Missouri St.,South Alabama,Bethune Cookman,1
7,8,SMU,Georgia,Utah St.,Texas A&M,2
8,9,Texas,Miami FL,Villanova,Saint Mary's,3
4,5,Arkansas,Vanderbilt,Louisville,Alabama,4
11,12,Yale,Stephen F. Austin,South Florida,Belmont,5
3,4,Tennessee,Michigan St.,Kansas,Texas Tech,6
12,13,High Point,Liberty,UNC Wilmington,Utah Valley,7
5,6,Kentucky,North Carolina,BYU,St. John's,8
10,11,Missouri,Ohio St.,TCU,Auburn,9
2,3,Florida,Nebraska,Virginia,Gonzaga,10
13,14,North Dakota St.,Navy,Austin Peay,East Tennessee St.,11
6,7,Wisconsin,Saint Louis,N.C. State,Iowa,12
9,10,Clemson,UCF,Indiana,UCLA,13
1,2,Purdue,Iowa St.,Illinois,Houston,14
14,15,Merrimack,Wright St.,Portland St.,Cal St. Northridge,15
