,Seed,east,midwest,south,west,seedings
0,1,Iowa St.,Purdue,Michigan,Duke,0
15,16,Southern,Oakland,SIU Edwardsville,Norfolk St.,1
7,8,N.C. State,Oklahoma St.,St. John's,Virginia,2
8,9,Texas,Saint Mary's,SMU,Missouri,3
4,5,Vanderbilt,BYU,USC,Florida,4
11,12,George Mason,McNeese St.,Akron,High Point,5
3,4,Kansas,Alabama,Iowa,North Carolina,6
12,13,Tulsa,New Mexico St.,Cal Baptist,UC San Diego,7
5,6,Nebraska,Ohio St.,Indiana,Auburn,8
10,11,Kentucky,UCLA,Northern Iowa,Arkansas,9
2,3,Connecticut,Tennessee,Illinois,Michigan St.,10
13,14,Navy,William & Mary,Northern Colorado,Troy,11
6,7,Clemson,Georgia,Utah St.,Baylor,12
9,10,Northwestern,Texas Tech,Villanova,Virginia Tech,13
1,2,Arizona,Houston,Louisville,Gonzaga,14
14,15,St. Thomas,East Tennessee St.,Iona,Austin Peay,15
