,Seed,east,midwest,south,west,seedings
0,1,Michigan,Connecticut,Arizona,Duke,0
15,16,Portland St.,Howard,LIU,Grambling St.,1
7,8,UCF,Kentucky,SMU,Saint Mary's,2
8,9,Wisconsin,Georgia,USC,Seton Hall,3
4,5,Florida,Clemson,Arkansas,Texas Tech,4
11,12,McNeese St.,Liberty,Tulsa,Belmont,5
3,4,Kansas,Virginia,Alabama,Michigan St.,6
12,13,Hawaii,Utah Valley,Yale,Hofstra,7
5,6,Utah St.,North Carolina,Villanova,Tennessee,8
10,11,Baylor,Missouri,Stanford,Auburn,9
2,3,Houston,BYU,Vanderbilt,Illinois,10
13,14,Furman,High Point,St. Thomas,Troy,11
6,7,Miami FL,Saint Louis,Louisville,St. John's,12
9,10,Texas,Iowa,N.C. State,Texas A&M,13
1,2,Purdue,Nebraska,Iowa St.,Gonzaga,14
14,15,Wright St.,Tennessee Martin,Austin Peay,Marist,15
