,Seed,east,midwest,south,west,seedings
0,1,Michigan,Houston,Arizona,Duke,0
15,16,Vermont,Tennessee Martin,Merrimack,Bethune Cookman,1
7,8,N.C. State,Auburn,Villanova,Texas A&M,2
8,9,UCF,Georgia,Indiana,Wisconsin,3
4,5,North Carolina,Tennessee,Arkansas,Texas Tech,4
11,12,Tulsa,Liberty,Yale,Belmont,5
3,4,Virginia,Florida,Vanderbilt,Alabama,6
12,13,Hawaii,High Point,Stephen F. Austin,Utah Valley,7
5,6,Kentucky,Saint Louis,Louisville,St. John's,8
10,11,California,Saint Mary's,Miami OH,Missouri,9
2,3,Purdue,Gonzaga,Kansas,Michigan St.,10
13,14,Portland St.,UNC Wilmington,Austin Peay,Troy,11
6,7,Clemson,Iowa,Utah St.,BYU,12
9,10,Texas,Miami FL,SMU,UCLA,13
1,2,Connecticut,Iowa St.,Illinois,Nebraska,14
14,15,Wright St.,Navy,North Dakota St.,East Tennessee St.,15
