,Seed,east,midwest,south,west,seedings
0,1,Michigan,Iowa St.,Arizona,Duke,0
15,16,Howard,Navy,Portland St.,Grambling St.,1
7,8,Miami FL,Seton Hall,UCF,St. John's,2
8,9,Wisconsin,Iowa,USC,Texas A&M,3
4,5,Florida,Clemson,Arkansas,Texas Tech,4
11,12,Murray St.,McNeese St.,Tulsa,Hofstra,5
3,4,Virginia,North Carolina,Alabama,Michigan St.,6
12,13,Utah Valley,Liberty,Hawaii,Yale,7
5,6,Utah St.,Louisville,Villanova,Kansas,8
10,11,TCU,Oklahoma St.,Indiana,Virginia Tech,9
2,3,BYU,Illinois,Houston,Gonzaga,10
13,14,Arkansas St.,Quinnipiac,St. Thomas,High Point,11
6,7,Georgia,Saint Louis,SMU,Tennessee,12
9,10,N.C. State,Saint Mary's,New Mexico,Auburn,13
1,2,Connecticut,Purdue,Vanderbilt,Nebraska,14
14,15,Wright St.,Austin Peay,Furman,Tennessee Martin,15
