,Seed,east,midwest,south,west,seedings
0,1,Michigan,Purdue,Arizona,Duke,0
15,16,SIU Edwardsville,LIU,Vermont,Southern,1
7,8,Illinois,Seton Hall,LSU,Texas Tech,2
8,9,Utah St.,Miami FL,Santa Clara,Florida,3
4,5,Clemson,Virginia,Butler,Tennessee,4
11,12,Akron,McNeese St.,TCU,William & Mary,5
3,4,Louisville,Houston,USC,Auburn,6
12,13,Northern Iowa,UC San Diego,South Alabama,Cal Baptist,7
5,6,SMU,Arkansas,Kansas,Nebraska,8
10,11,Oklahoma,Baylor,Tulsa,St. John's,9
2,3,BYU,Alabama,Iowa St.,North Carolina,10
13,14,High Point,East Tennessee St.,Northern Colorado,New Mexico St.,11
6,7,Georgia,Saint Mary's,UCF,Oklahoma St.,12
9,10,Saint Louis,Yale,George Mason,Colorado,13
1,2,Michigan St.,Connecticut,Vanderbilt,Gonzaga,14
14,15,Siena,Lipscomb,North Dakota St.,Robert Morris,15
