,Seed,east,midwest,south,west,seedings
0,1,Michigan,Iowa St.,Arizona,Duke,0
15,16,UMBC,Tennessee Martin,Merrimack,Bethune Cookman,1
7,8,Clemson,Texas,Villanova,Saint Louis,2
8,9,Miami FL,Georgia,SMU,Texas A&M,3
4,5,Arkansas,Alabama,Louisville,Tennessee,4
11,12,Stephen F. Austin,Liberty,South Florida,Belmont,5
3,4,Virginia,Michigan St.,Vanderbilt,Texas Tech,6
12,13,Yale,UNC Wilmington,Cal Baptist,High Point,7
5,6,Kentucky,North Carolina,BYU,St. John's,8
10,11,Missouri,Ohio St.,TCU,Auburn,9
2,3,Purdue,Florida,Kansas,Nebraska,10
13,14,Portland St.,Hawaii,North Dakota St.,Austin Peay,11
6,7,N.C. State,Wisconsin,Utah St.,Iowa,12
9,10,UCF,Saint Mary's,Indiana,UCLA,13
1,2,Connecticut,Houston,Illinois,Gonzaga,14
14,15,Wright St.,Navy,South Alabama,East Tennessee St.,15
