,Seed,east,midwest,south,west,seedings
0,1,Arizona,Michigan,Vanderbilt,Duke,0
15,16,Southern,Youngstown St.,LIU,Norfolk St.,1
7,8,Miami FL,Oklahoma St.,Butler,Tennessee,2
8,9,Yale,St. John's,UCF,Virginia Tech,3
4,5,Kansas,Saint Mary's,Arkansas,Nebraska,4
11,12,LSU,Akron,Tulsa,Belmont,5
3,4,Illinois,North Carolina,Houston,Texas Tech,6
12,13,Utah Valley,High Point,UNC Wilmington,UC San Diego,7
5,6,Virginia,Seton Hall,USC,Auburn,8
10,11,Arizona St.,Wisconsin,Saint Louis,Boise St.,9
2,3,Purdue,Alabama,Louisville,Michigan St.,10
13,14,Siena,Northern Colorado,Liberty,Lipscomb,11
6,7,SMU,Clemson,Utah St.,Georgia,12
9,10,Florida,Colorado,Iowa,UCLA,13
1,2,Iowa St.,BYU,Connecticut,Gonzaga,14
14,15,East Tennessee St.,St. Thomas,Colgate,Arkansas St.,15
