,Seed,east,midwest,south,west,seedings
0,1,Michigan,Connecticut,Arizona,Iowa St.,0
15,16,Howard,LIU,Lindenwood,Grambling St.,1
7,8,Florida,Saint Mary's,SMU,UCLA,2
8,9,UCF,California,Villanova,Auburn,3
4,5,Arkansas,Tennessee,Louisville,Texas Tech,4
11,12,McNeese St.,Yale,Miami OH,Belmont,5
3,4,Alabama,Illinois,Kansas,North Carolina,6
12,13,Utah Valley,William & Mary,Liberty,UC San Diego,7
5,6,Iowa,Virginia,USC,Seton Hall,8
10,11,Arizona St.,St. John's,Baylor,Virginia Tech,9
2,3,BYU,Nebraska,Houston,Michigan St.,10
13,14,Arkansas St.,Quinnipiac,Lipscomb,High Point,11
6,7,Clemson,LSU,Utah St.,Kentucky,12
9,10,Miami FL,Saint Louis,Butler,Oklahoma St.,13
1,2,Purdue,Duke,Vanderbilt,Gonzaga,14
14,15,Northern Colorado,Furman,St. Thomas,Robert Morris,15
