,Seed,east,midwest,south,west,seedings
0,1,Michigan,Nebraska,Arizona,Duke,0
15,16,Navy,Tennessee Martin,Vermont,Bethune Cookman,1
7,8,Villanova,Auburn,SMU,Texas A&M,2
8,9,N.C. State,UCF,Utah St.,Wisconsin,3
4,5,Arkansas,Alabama,Kansas,St. John's,4
11,12,Liberty,Yale,Tulsa,Belmont,5
3,4,BYU,Florida,Vanderbilt,Texas Tech,6
12,13,Hawaii,High Point,Stephen F. Austin,Troy,7
5,6,Georgia,Kentucky,Louisville,North Carolina,8
10,11,Miami FL,Seton Hall,Butler,New Mexico,9
2,3,Michigan St.,Virginia,Illinois,Gonzaga,10
13,14,UNC Wilmington,Utah Valley,North Dakota St.,Mercer,11
6,7,Iowa,Saint Louis,Clemson,Tennessee,12
9,10,Ohio St.,UCLA,Saint Mary's,Virginia Tech,13
1,2,Houston,Iowa St.,Connecticut,Purdue,14
14,15,Portland St.,Quinnipiac,Austin Peay,Wright St.,15
