,Seed,east,midwest,south,west,seedings
0,1,Michigan,Connecticut,Arizona,Duke,0
15,16,Southeast Missouri St.,Bethune Cookman,UMBC,Robert Morris,1
7,8,UCF,Miami FL,Utah St.,Texas A&M,2
8,9,SMU,Georgia,Villanova,UCLA,3
4,5,Vanderbilt,North Carolina,Arkansas,Tennessee,4
11,12,Yale,Liberty,South Florida,Belmont,5
3,4,Gonzaga,Michigan St.,Alabama,Texas Tech,6
12,13,Stephen F. Austin,High Point,UNC Wilmington,Utah Valley,7
5,6,BYU,Kentucky,Louisville,St. John's,8
10,11,Indiana,California,Miami OH,Ohio St.,9
2,3,Virginia,Houston,Kansas,Nebraska,10
13,14,North Dakota St.,Portland St.,Austin Peay,Navy,11
6,7,Wisconsin,Saint Louis,N.C. State,Iowa,12
9,10,Texas,Saint Mary's,Clemson,Missouri,13
1,2,Iowa St.,Purdue,Illinois,Florida,14
14,15,Merrimack,East Tennessee St.,South Alabama,Cal St. Northridge,15
