,Seed,east,midwest,south,west,seedings
0,1,Michigan,Vanderbilt,Arizona,Iowa St.,0
15,16,Howard,LIU,Lipscomb,Grambling St.,1
7,8,UCF,Auburn,Clemson,St. John's,2
8,9,Georgia,Kentucky,LSU,Baylor,3
4,5,Kansas,Tennessee,Arkansas,Texas Tech,4
11,12,McNeese St.,Yale,Miami OH,Illinois St.,5
3,4,Houston,Alabama,Illinois,North Carolina,6
12,13,Utah Valley,UC San Diego,Liberty,William & Mary,7
5,6,USC,Iowa,Villanova,Florida,8
10,11,Oklahoma St.,UCLA,Saint Louis,Virginia Tech,9
2,3,BYU,Nebraska,Louisville,Michigan St.,10
13,14,Arkansas St.,Quinnipiac,Northern Colorado,High Point,11
6,7,SMU,Saint Mary's,Utah St.,Virginia,12
9,10,Ohio St.,Seton Hall,N.C. State,Boise St.,13
1,2,Purdue,Duke,Connecticut,Gonzaga,14
14,15,Furman,Oakland,St. Thomas,Tennessee Martin,15
