,Seed,east,midwest,south,west,seedings
0,1,Houston,Purdue,Arizona,Duke,0
15,16,Navy,Milwaukee,LIU,Norfolk St.,1
7,8,George Washington,Iowa,St. John's,Saint Mary's,2
8,9,Santa Clara,Georgetown,Mississippi,Auburn,3
4,5,Nebraska,Alabama,Virginia,Ohio St.,4
11,12,Northern Iowa,Akron,Liberty,High Point,5
3,4,Iowa St.,Illinois,Indiana,North Carolina,6
12,13,UNC Wilmington,Cal Baptist,Yale,Troy,7
5,6,Georgia,Oklahoma St.,Clemson,Tennessee,8
10,11,Arkansas,Texas Tech,Creighton,Boise St.,9
2,3,Connecticut,BYU,Vanderbilt,Florida,10
13,14,McNeese St.,UC San Diego,Iona,Montana,11
6,7,N.C. State,Baylor,SMU,UCLA,12
9,10,Utah St.,Kentucky,Villanova,Missouri,13
1,2,Michigan,Michigan St.,Louisville,Gonzaga,14
14,15,Florida Gulf Coast,East Tennessee St.,St. Thomas,Bethune Cookman,15
