,Seed,east,midwest,south,west,seedings
0,1,Michigan,Florida,Arizona,Duke,0
15,16,Louisiana Tech,Lehigh,Siena,Southern,1
7,8,TCU,Georgia,Clemson,Ohio St.,2
8,9,Villanova,N.C. State,Utah St.,Iowa,3
4,5,Wisconsin,Tennessee,Arkansas,Texas Tech,4
11,12,Akron,McNeese St.,Yale,High Point,5
3,4,Vanderbilt,Nebraska,Kansas,Alabama,6
12,13,UC Irvine,Northern Iowa,Hofstra,Utah Valley,7
5,6,Kentucky,North Carolina,Louisville,St. John's,8
10,11,Oklahoma,VCU,UCF,Missouri,9
2,3,Virginia,Gonzaga,Purdue,Michigan St.,10
13,14,Wright St.,Idaho,North Dakota St.,Troy,11
6,7,BYU,Saint Mary's,Miami FL,UCLA,12
9,10,Miami OH,Saint Louis,Santa Clara,Texas A&M,13
1,2,Connecticut,Iowa St.,Illinois,Houston,14
14,15,Queens,Tennessee St.,Furman,UMBC,15
