,Seed,east,midwest,south,west,seedings
0,1,Michigan,Connecticut,Arizona,Duke,0
15,16,UMBC,Bethune Cookman,Tennessee St.,Robert Morris,1
7,8,UCF,Miami FL,Utah St.,Texas A&M,2
8,9,Georgia,Saint Mary's,Villanova,UCLA,3
4,5,Arkansas,Vanderbilt,Louisville,Tennessee,4
11,12,Miami OH,Stephen F. Austin,Yale,Belmont,5
3,4,Gonzaga,Michigan St.,Alabama,Texas Tech,6
12,13,High Point,Liberty,UNC Wilmington,Utah Valley,7
5,6,Kentucky,North Carolina,BYU,St. John's,8
10,11,California,Missouri,Indiana,Ohio St.,9
2,3,Virginia,Houston,Kansas,Nebraska,10
13,14,Hawaii,Navy,North Dakota St.,Troy,11
6,7,Wisconsin,Saint Louis,N.C. State,Iowa,12
9,10,SMU,Clemson,TCU,Texas,13
1,2,Iowa St.,Purdue,Illinois,Florida,14
14,15,Portland St.,Merrimack,Austin Peay,East Tennessee St.,15
