,Seed,east,midwest,south,west,seedings
0,1,Arizona,Michigan,Vanderbilt,Duke,0
15,16,Southern,Youngstown St.,LIU,Norfolk St.,1
7,8,Florida,Oklahoma St.,Butler,Tennessee,2
8,9,Miami FL,Ohio St.,UCF,Virginia Tech,3
4,5,Kansas,Virginia,Arkansas,Saint Mary's,4
11,12,Akron,McNeese St.,Tulsa,Belmont,5
3,4,Houston,Illinois,Louisville,Texas Tech,6
12,13,Utah Valley,High Point,UNC Wilmington,UC San Diego,7
5,6,Nebraska,Clemson,USC,Auburn,8
10,11,Wisconsin,Colorado,Saint Louis,Boise St.,9
2,3,BYU,North Carolina,Alabama,Michigan St.,10
13,14,Siena,Northern Colorado,Liberty,Lipscomb,11
6,7,SMU,Georgia,Utah St.,Seton Hall,12
9,10,Yale,UCLA,California,St. John's,13
1,2,Iowa St.,Purdue,Connecticut,Gonzaga,14
14,15,St. Thomas,Arkansas St.,Colgate,East Tennessee St.,15
