,Seed,east,midwest,south,west,seedings
0,1,Michigan,Florida,Arizona,Duke,0
15,16,UMBC,Boston University,Queens,Bethune Cookman,1
7,8,TCU,Saint Mary's,Miami OH,Iowa,2
8,9,Clemson,Ohio St.,Villanova,Texas A&M,3
4,5,Arkansas,Vanderbilt,Louisville,Tennessee,4
11,12,Yale,McNeese St.,South Florida,High Point,5
3,4,Alabama,Gonzaga,Kansas,Texas Tech,6
12,13,Northern Iowa,Utah Valley,Hofstra,Liberty,7
5,6,BYU,North Carolina,Wisconsin,St. John's,8
10,11,Texas,Missouri,Indiana,VCU,9
2,3,Iowa St.,Purdue,Virginia,Nebraska,10
13,14,UC Irvine,Wright St.,North Dakota St.,Troy,11
6,7,Georgia,Kentucky,Miami FL,UCLA,12
9,10,N.C. State,UCF,Utah St.,Saint Louis,13
1,2,Michigan St.,Connecticut,Illinois,Houston,14
14,15,Merrimack,Furman,Portland St.,Tennessee St.,15
